area_type,availability,location,size,society,total_sqft,bath,balcony,price,imagePath,email,address,contact_number
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,/House_Pics/1.jpg,iobxwasi@oowyr.com,31  First Avenue  electroniccity  Bangalore - 560100,9628790538
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,/House_Pics/2.jpg,tdbclapr@zbpao.com,2  Second Road  hebbal  Bangalore - 560024,9053456012
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,No Society,1440,2,3,62,/House_Pics/3.jpg,ccnillem@lswkd.com,91  Park Avenue  whitefield  Bangalore - 560066,9201314266
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,/House_Pics/4.jpg,juuyuqqo@iyzev.com,83  Main Street  mekhricircle  Bangalore - 560006,9748632834
Super built-up  Area,Ready To Move,Kothanur,2 BHK,No Society,1200,2,1,51,/House_Pics/5.jpg,tnmcyuws@ubpjc.com,67  Main Street  whitefield  Bangalore - 560066,8234823870
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,/House_Pics/6.jpg,pmbtmlti@lerih.com,50  Main Street  whitefield  Bangalore - 560066,8466586826
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,0,204,/House_Pics/7.jpg,onmrkrqn@dlney.com,75  Elm Street  electroniccity  Bangalore - 560100,9730215146
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,1,600,/House_Pics/8.jpg,wsowapmy@jwvwf.com,45  Second Road  btm  Bangalore - 560076,9615770630
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,No Society,1310,3,1,63.25,/House_Pics/9.jpg,xxhabsxq@mqlwk.com,99  Second Road  yelahanka  Bangalore - 560064,9508459273
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,No Society,1020,6,0,370,/House_Pics/10.jpg,bbqmaksw@pymlr.com,67  Main Street  hebbal  Bangalore - 560024,9414329027
Super built-up  Area,18-Feb,Whitefield,3 BHK,No Society,1800,2,2,70,/House_Pics/11.jpg,xtltdygw@plfyr.com,66  Park Avenue  whitefield  Bangalore - 560066,9519573296
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,/House_Pics/12.jpg,gbshxvpi@pofwi.com,50  Elm Street  whitefield  Bangalore - 560066,8346200204
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,/House_Pics/13.jpg,pftdohil@ctsxq.com,10  Main Street  hebbal  Bangalore - 560024,8237592087
Built-up  Area,Ready To Move,Gottigere,2 BHK,No Society,1100,2,2,40,/House_Pics/14.jpg,laqhuinz@vuimq.com,73  Second Road  btm  Bangalore - 560076,8800375698
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,/House_Pics/15.jpg,avardwwv@igodz.com,89  Elm Street  mekhricircle  Bangalore - 560006,8105303216
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,/House_Pics/16.jpg,hzwpiclh@puevt.com,38  Elm Street  whitefield  Bangalore - 560066,8589390064
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,/House_Pics/17.jpg,deaqslyn@vmjfw.com,22  Park Avenue  btm  Bangalore - 560076,9621964384
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,/House_Pics/18.jpg,dywvtbjw@mhhjy.com,67  Second Road  btm  Bangalore - 560076,8606659044
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,/House_Pics/19.jpg,ybzanscs@haykp.com,57  Main Street  mekhricircle  Bangalore - 560006,9144545650
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,No Society,1100,2,2,48,/House_Pics/20.jpg,udjardyr@dbael.com,2  Second Road  hebbal  Bangalore - 560024,8726103553
Built-up  Area,Ready To Move,Kengeri,1 BHK,No Society,600,1,1,15,/House_Pics/21.jpg,daeibgvw@hwttx.com,38  First Avenue  hebbal  Bangalore - 560024,8264876620
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122,/House_Pics/22.jpg,oemimdnn@zoywe.com,100  Second Road  hebbal  Bangalore - 560024,9716177275
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380,/House_Pics/23.jpg,qbdcqukf@zfvud.com,93  First Avenue  yelahanka  Bangalore - 560064,8762809184
Super built-up  Area,Ready To Move,Bellandur,3 BHK,No Society,1767,3,1,103,/House_Pics/24.jpg,vbfrnzus@sftsa.com,38  First Avenue  whitefield  Bangalore - 560066,8763982738
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,/House_Pics/25.jpg,cunvgngv@buxdp.com,89  First Avenue  electroniccity  Bangalore - 560100,9542634414
Super built-up  Area,18-May,Mangammanapalya,3 BHK,No Society,1250,3,2,56,/House_Pics/26.jpg,uzardgfs@irauy.com,7  Elm Street  mekhricircle  Bangalore - 560006,9694304491
